iter	Logloss
0	0.6852885905
1	0.6781096028
2	0.6715562736
3	0.6653665826
4	0.6598124101
5	0.653653206
6	0.6481114867
7	0.6427479846
8	0.6374034516
9	0.6324914231
10	0.6279369315
11	0.6242436704
12	0.6207602589
13	0.6166842101
14	0.612717348
15	0.6094369387
16	0.6062411993
17	0.6029601242
18	0.599950441
19	0.5970446054
20	0.5937909167
21	0.5909810183
22	0.5885559461
23	0.5862431613
24	0.5843063357
25	0.5818004412
26	0.5796156446
27	0.5776322331
28	0.57535588
29	0.573399788
30	0.5717741715
31	0.57018381
32	0.5686233946
33	0.5671125248
34	0.5657144588
35	0.5644537144
36	0.5630278519
37	0.5616143526
38	0.5603884051
39	0.558967016
40	0.5573484507
41	0.5561990286
42	0.5552055904
43	0.5540459494
44	0.5529647393
45	0.552007662
46	0.5508704945
47	0.5498206469
48	0.5491223932
49	0.5482607596
50	0.5474131449
51	0.5466102624
52	0.5458176772
53	0.5448655209
54	0.5439216424
55	0.5431537294
56	0.54232211
57	0.5416191228
58	0.5409634497
59	0.5403863425
60	0.5398729716
61	0.5393471105
62	0.538675767
63	0.5381155954
64	0.5374689761
65	0.5367716411
66	0.5363128499
67	0.5357505322
68	0.5351673817
69	0.5346749808
70	0.5341537639
71	0.533709021
72	0.5331674493
73	0.53265874
74	0.5321725755
75	0.5317760953
76	0.5312590145
77	0.5306546032
78	0.5303256212
79	0.5299838227
80	0.5295126317
81	0.5290870343
82	0.5287318386
83	0.5282940108
84	0.5278299457
85	0.5274792028
86	0.5270067263
87	0.5265840347
88	0.5262133169
89	0.5258468465
90	0.525497925
91	0.524984736
92	0.524640872
93	0.5242687773
94	0.523817555
95	0.5232570276
96	0.5229190092
97	0.5225237212
98	0.5221792329
99	0.521844911
100	0.5215239072
101	0.5210835878
102	0.5208362697
103	0.520462945
104	0.5200237893
105	0.5197642211
106	0.5194616395
107	0.51907586
108	0.518651131
109	0.5183374793
110	0.5180825684
111	0.5176931759
112	0.5173171275
113	0.5169846122
114	0.5166525619
115	0.516327691
116	0.5159993112
117	0.51557174
118	0.5152586856
119	0.5149264565
120	0.5146455463
121	0.5143203663
122	0.5139233729
123	0.5136360842
124	0.51340056
125	0.5131185904
126	0.5128881347
127	0.512553243
128	0.5122996839
129	0.5120030438
130	0.5116478803
131	0.5114237559
132	0.511170247
133	0.5108841413
134	0.5105957473
135	0.5101864653
136	0.5098671252
137	0.5095714308
138	0.5093151145
139	0.5089878334
140	0.5086536302
141	0.508336158
142	0.5080391087
143	0.5077125331
144	0.5075300528
145	0.5072683621
146	0.5069870362
147	0.5066392274
148	0.5062789692
149	0.5060281108
150	0.5057186066
151	0.5054638824
152	0.5051918102
153	0.5050316705
154	0.504791538
155	0.5045152454
156	0.5042779202
157	0.5040253956
158	0.5037277986
159	0.5034780038
160	0.5031900294
161	0.5029228064
162	0.5026467118
163	0.502306764
164	0.5021253736
165	0.5018832148
166	0.5016034284
167	0.5012042893
168	0.50098979
169	0.5007285378
170	0.5003687769
171	0.5001302446
172	0.4998686171
173	0.4995616148
174	0.4992840666
175	0.4990373253
176	0.4988673187
177	0.4986649004
178	0.4984834725
179	0.4982149706
180	0.4980050641
181	0.4977668993
182	0.4975062694
183	0.4972966332
184	0.4970030627
185	0.4967292448
186	0.4964766338
187	0.4962864671
188	0.4960097708
189	0.4958240555
190	0.4955735782
191	0.4953874724
192	0.4951907476
193	0.4948513771
194	0.4946276695
195	0.4942810852
196	0.4940283598
197	0.4937570895
198	0.4935421139
199	0.4931426963
200	0.492937755
201	0.4927140176
202	0.4924598254
203	0.492234249
204	0.4919442577
205	0.4917122529
206	0.4914837867
207	0.491245818
208	0.4910240097
209	0.4908178193
210	0.4905061518
211	0.4902194737
212	0.4899486351
213	0.4896851793
214	0.4894864145
215	0.4892837518
216	0.4890823219
217	0.4887379874
218	0.4884803451
219	0.4882434581
220	0.488037306
221	0.4878310904
222	0.4875935355
223	0.4873080658
224	0.4870842025
225	0.486789879
226	0.4865194355
227	0.4863093815
228	0.486092256
229	0.4858518788
230	0.4856683536
231	0.4854476479
232	0.4852646861
233	0.4850172684
234	0.4847899891
235	0.4846561991
236	0.4844529519
237	0.4842973801
238	0.4840727314
239	0.4838647499
240	0.4837185487
241	0.4834763801
242	0.4832616627
243	0.4831222588
244	0.4828108471
245	0.4825701969
246	0.4823091774
247	0.4821708617
248	0.4820225884
249	0.4817861741
250	0.4816526183
251	0.4813795212
252	0.4810924994
253	0.4808577615
254	0.4806596444
255	0.4804181366
256	0.4801815924
257	0.4799692712
